Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35184, Smelt, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,16.92,
"Energy",kcal,386,
"Protein",g,56.19,
"Total lipid (fat)",g,17.90,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,1600,
"Iron, Fe",mg,5.40,
"Magnesium, Mg",mg,89,
"Phosphorus, P",mg,1400,
"Potassium, K",mg,1000,
"Sodium, Na",mg,420,
"Zinc, Zn",mg,6.70,
Vitamins
"Thiamin",mg,0.073,
"Riboflavin",mg,0.262,
"Niacin",mg,5.970,
"Vitamin B-6",mg,0.176,
"Vitamin B-12",µg,19.10,
"Vitamin A, RAE",µg,139,
"Vitamin A, IU",IU,463,
"Vitamin E (alpha-tocopherol)",mg,4.51,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,3.590,
"Fatty acids, total monounsaturated",g,6.860,
"Fatty acids, total polyunsaturated",g,2.884,
"Cholesterol",mg,249,
Amino Acids
Other
"Caffeine",mg,0,
