Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03062, Babyfood, dinner, vegetables and ham, junior"
Nutrient,Unit,1Value per 100 g,"1 cup = 256.0g","1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 170.0g","1 jar Gerber Third Foods (6 oz) = 170.0g","1 jar Heinz Junior-3 (6 oz) = 170.0g",
Proximates
"Water",g,87.00,222.72,13.92,24.66,147.90,147.90,147.90
"Energy",kcal,60,154,10,17,102,102,102
"Protein",g,2.02,5.17,0.32,0.57,3.43,3.43,3.43
"Total lipid (fat)",g,1.89,4.84,0.30,0.54,3.21,3.21,3.21
"Carbohydrate, by difference",g,8.64,22.12,1.38,2.45,14.69,14.69,14.69
"Fiber, total dietary",g,1.0,2.6,0.2,0.3,1.7,1.7,1.7
"Sugars, total",g,0.99,2.53,0.16,0.28,1.68,1.68,1.68
Minerals
"Calcium, Ca",mg,14,36,2,4,24,24,24
"Iron, Fe",mg,0.24,0.61,0.04,0.07,0.41,0.41,0.41
"Magnesium, Mg",mg,8,20,1,2,14,14,14
"Phosphorus, P",mg,33,84,5,9,56,56,56
"Potassium, K",mg,97,248,16,27,165,165,165
"Sodium, Na",mg,45,115,7,13,76,76,76
"Zinc, Zn",mg,0.30,0.77,0.05,0.09,0.51,0.51,0.51
Vitamins
"Vitamin C, total ascorbic acid",mg,1.1,2.8,0.2,0.3,1.9,1.9,1.9
"Thiamin",mg,0.032,0.082,0.005,0.009,0.054,0.054,0.054
"Riboflavin",mg,0.040,0.102,0.006,0.011,0.068,0.068,0.068
"Niacin",mg,0.512,1.311,0.082,0.145,0.870,0.870,0.870
"Vitamin B-6",mg,0.046,0.118,0.007,0.013,0.078,0.078,0.078
"Folate, DFE",µg,8,20,1,2,14,14,14
"Vitamin B-12",µg,0.03,0.08,0.00,0.01,0.05,0.05,0.05
"Vitamin A, RAE",µg,144,369,23,41,245,245,245
"Vitamin A, IU",IU,2872,7352,460,814,4882,4882,4882
"Vitamin E (alpha-tocopherol)",mg,0.31,0.79,0.05,0.09,0.53,0.53,0.53
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,1,3,0,0,2,2,2
"Vitamin K (phylloquinone)",µg,2.7,6.9,0.4,0.8,4.6,4.6,4.6
Lipids
"Fatty acids, total saturated",g,0.483,1.236,0.077,0.137,0.821,0.821,0.821
"Fatty acids, total monounsaturated",g,0.811,2.076,0.130,0.230,1.379,1.379,1.379
"Fatty acids, total polyunsaturated",g,0.448,1.147,0.072,0.127,0.762,0.762,0.762
"Cholesterol",mg,3,8,0,1,5,5,5
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
