Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:47 EST
"Nutrient data for: 03998, Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack"
Nutrient,Unit,1Value per 100 g,"18.0 piece = 7.0g",
Proximates
"Water",g,2.60,0.18
"Energy",kcal,503,35
"Protein",g,0.00,0.00
"Total lipid (fat)",g,28.57,2.00
"Carbohydrate, by difference",g,61.59,4.31
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,285,20
"Iron, Fe",mg,6.40,0.45
"Magnesium, Mg",mg,69,5
"Phosphorus, P",mg,1044,73
"Potassium, K",mg,214,15
"Sodium, Na",mg,71,5
"Zinc, Zn",mg,3.57,0.25
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.169,0.012
"Riboflavin",mg,0.099,0.007
"Niacin",mg,1.291,0.090
"Vitamin B-6",mg,0.258,0.018
"Folate, DFE",µg,19,1
"Vitamin B-12",µg,0.10,0.01
"Vitamin A, RAE",µg,39,3
"Vitamin A, IU",IU,265,19
"Vitamin E (alpha-tocopherol)",mg,8.57,0.60
"Vitamin D (D2 + D3)",µg,0.1,0.0
"Vitamin D",IU,3,0
"Vitamin K (phylloquinone)",µg,9.8,0.7
Lipids
"Fatty acids, total saturated",g,4.669,0.327
"Fatty acids, total monounsaturated",g,14.682,1.028
"Fatty acids, total polyunsaturated",g,7.698,0.539
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,13,1
Amino Acids
Other
"Caffeine",mg,0,0
