Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:48 EST
"Nutrient data for: 03108, Babyfood, vegetables, sweet potatoes strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 224.0g","1 tbsp = 14.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Beech-Nut Baby's First (2.5 oz) = 71.0g","1 jar Beech-Nut Stage I (4 oz) = 113.0g","1 jar Gerber First Foods (2.5 oz) = 71.0g","1 jar Earth's Best (4.5 oz) = 128.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g","1 jar Heinz Beginner-1 (2.5 oz) = 71.0g",
Proximates
"Water",g,84.80,189.95,11.87,24.04,95.82,60.21,95.82,60.21,108.54,95.82,95.82,60.21
"Energy",kcal,57,128,8,16,64,40,64,40,73,64,64,40
"Protein",g,1.10,2.46,0.15,0.31,1.24,0.78,1.24,0.78,1.41,1.24,1.24,0.78
"Total lipid (fat)",g,0.10,0.22,0.01,0.03,0.11,0.07,0.11,0.07,0.13,0.11,0.11,0.07
"Carbohydrate, by difference",g,13.20,29.57,1.85,3.74,14.92,9.37,14.92,9.37,16.90,14.92,14.92,9.37
"Fiber, total dietary",g,1.5,3.4,0.2,0.4,1.7,1.1,1.7,1.1,1.9,1.7,1.7,1.1
"Sugars, total",g,4.05,9.07,0.57,1.15,4.58,2.88,4.58,2.88,5.18,4.58,4.58,2.88
Minerals
"Calcium, Ca",mg,16,36,2,5,18,11,18,11,20,18,18,11
"Iron, Fe",mg,0.37,0.83,0.05,0.10,0.42,0.26,0.42,0.26,0.47,0.42,0.42,0.26
"Magnesium, Mg",mg,13,29,2,4,15,9,15,9,17,15,15,9
"Phosphorus, P",mg,24,54,3,7,27,17,27,17,31,27,27,17
"Potassium, K",mg,263,589,37,75,297,187,297,187,337,297,297,187
"Sodium, Na",mg,22,49,3,6,25,16,25,16,28,25,25,16
"Zinc, Zn",mg,0.21,0.47,0.03,0.06,0.24,0.15,0.24,0.15,0.27,0.24,0.24,0.15
Vitamins
"Vitamin C, total ascorbic acid",mg,9.9,22.2,1.4,2.8,11.2,7.0,11.2,7.0,12.7,11.2,11.2,7.0
"Thiamin",mg,0.028,0.063,0.004,0.008,0.032,0.020,0.032,0.020,0.036,0.032,0.032,0.020
"Riboflavin",mg,0.033,0.074,0.005,0.009,0.037,0.023,0.037,0.023,0.042,0.037,0.037,0.023
"Niacin",mg,0.358,0.802,0.050,0.101,0.405,0.254,0.405,0.254,0.458,0.405,0.405,0.254
"Vitamin B-6",mg,0.093,0.208,0.013,0.026,0.105,0.066,0.105,0.066,0.119,0.105,0.105,0.066
"Folate, DFE",µg,10,22,1,3,11,7,11,7,13,11,11,7
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,322,721,45,91,364,229,364,229,412,364,364,229
"Vitamin A, IU",IU,6438,14421,901,1825,7275,4571,7275,4571,8241,7275,7275,4571
"Vitamin E (alpha-tocopherol)",mg,0.52,1.16,0.07,0.15,0.59,0.37,0.59,0.37,0.67,0.59,0.59,0.37
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.4,3.1,0.2,0.4,1.6,1.0,1.6,1.0,1.8,1.6,1.6,1.0
Lipids
"Fatty acids, total saturated",g,0.021,0.047,0.003,0.006,0.024,0.015,0.024,0.015,0.027,0.024,0.024,0.015
"Fatty acids, total monounsaturated",g,0.004,0.009,0.001,0.001,0.005,0.003,0.005,0.003,0.005,0.005,0.005,0.003
"Fatty acids, total polyunsaturated",g,0.044,0.099,0.006,0.012,0.050,0.031,0.050,0.031,0.056,0.050,0.050,0.031
"Cholesterol",mg,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0,0,0,0
