Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:49 EST
"Nutrient data for: 33865, Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, Liquid concentrate, not reconstituted"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 31.4g",
Proximates
"Water",g,75.34,23.66
"Energy",kcal,129,41
"Protein",g,2.72,0.85
"Total lipid (fat)",g,7.10,2.23
"Carbohydrate, by difference",g,14.34,4.50
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,14.34,4.50
Minerals
"Calcium, Ca",mg,101,32
"Iron, Fe",mg,2.32,0.73
"Magnesium, Mg",mg,10,3
"Phosphorus, P",mg,55,17
"Potassium, K",mg,138,43
"Sodium, Na",mg,35,11
"Zinc, Zn",mg,1.28,0.40
Vitamins
"Vitamin C, total ascorbic acid",mg,15.6,4.9
"Thiamin",mg,0.103,0.032
"Riboflavin",mg,0.181,0.057
"Niacin",mg,1.283,0.403
"Vitamin B-6",mg,0.078,0.024
"Folate, DFE",µg,21,7
"Vitamin B-12",µg,0.39,0.12
"Vitamin A, RAE",µg,118,37
"Vitamin A, IU",IU,395,124
"Vitamin E (alpha-tocopherol)",mg,1.17,0.37
"Vitamin D (D2 + D3)",µg,1.0,0.3
"Vitamin D",IU,40,13
"Vitamin K (phylloquinone)",µg,11.6,3.6
Lipids
"Fatty acids, total saturated",g,2.943,0.924
"Fatty acids, total monounsaturated",g,2.633,0.827
"Fatty acids, total polyunsaturated",g,1.355,0.425
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
