Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:49 EST
"Nutrient data for: 03824, Infant formula, MEAD JOHNSON, PROSOBEE, with iron, liquid concentrate, not reconstituted"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 30.8g",
Proximates
"Water",g,75.47,23.24
"Energy",kcal,131,40
"Protein",g,3.19,0.98
"Total lipid (fat)",g,7.13,2.20
"Carbohydrate, by difference",g,13.58,4.18
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,13.58,4.18
Minerals
"Calcium, Ca",mg,134,41
"Iron, Fe",mg,2.30,0.71
"Magnesium, Mg",mg,14,4
"Phosphorus, P",mg,106,33
"Potassium, K",mg,153,47
"Sodium, Na",mg,45,14
"Zinc, Zn",mg,1.53,0.47
Vitamins
"Vitamin C, total ascorbic acid",mg,15.3,4.7
"Thiamin",mg,0.102,0.031
"Riboflavin",mg,0.115,0.035
"Niacin",mg,1.280,0.394
"Vitamin B-6",mg,0.077,0.024
"Folate, DFE",µg,34,10
"Vitamin B-12",µg,0.38,0.12
"Vitamin A, RAE",µg,113,35
"Vitamin A, IU",IU,377,116
"Vitamin E (alpha-tocopherol)",mg,1.70,0.52
"Vitamin D (D2 + D3)",µg,1.9,0.6
"Vitamin D",IU,77,24
"Vitamin K (phylloquinone)",µg,10.2,3.1
Lipids
"Fatty acids, total saturated",g,3.038,0.936
"Fatty acids, total monounsaturated",g,2.720,0.838
"Fatty acids, total polyunsaturated",g,1.371,0.422
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
