Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:32 EST
"Nutrient data for: 18117, Cake, pudding-type, marble, dry mix"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 package (18.25 oz) = 517.0g",
Proximates
"Water",g,3.10,0.88,16.03
"Energy",kcal,416,118,2151
"Protein",g,3.40,0.96,17.58
"Total lipid (fat)",g,11.70,3.32,60.49
"Carbohydrate, by difference",g,79.50,22.54,411.01
"Fiber, total dietary",g,2.9,0.8,15.0
"Sugars, total",g,35.71,10.12,184.62
Minerals
"Calcium, Ca",mg,76,22,393
"Iron, Fe",mg,1.62,0.46,8.38
"Magnesium, Mg",mg,18,5,93
"Phosphorus, P",mg,275,78,1422
"Potassium, K",mg,123,35,636
"Sodium, Na",mg,519,147,2683
"Zinc, Zn",mg,0.35,0.10,1.81
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.181,0.051,0.936
"Riboflavin",mg,0.130,0.037,0.672
"Niacin",mg,1.546,0.438,7.993
"Vitamin B-6",mg,0.025,0.007,0.129
"Folate, DFE",µg,55,16,284
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,0,5
"Vitamin A, IU",IU,2,1,10
"Vitamin E (alpha-tocopherol)",mg,0.85,0.24,4.39
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,2.8,0.8,14.5
Lipids
"Fatty acids, total saturated",g,2.450,0.695,12.667
"Fatty acids, total monounsaturated",g,4.750,1.347,24.558
"Fatty acids, total polyunsaturated",g,3.779,1.071,19.537
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,7,2,36
