Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:32 EST
"Nutrient data for: 28296, Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, with added fiber"
Nutrient,Unit,1Value per 100 g,"1 cake 1 serving = 27.0g",
Proximates
"Water",g,11.31,3.05
"Energy",kcal,409,110
"Protein",g,3.71,1.00
"Total lipid (fat)",g,13.00,3.51
"Carbohydrate, by difference",g,69.37,18.73
"Fiber, total dietary",g,14.9,4.0
"Sugars, total",g,33.42,9.02
Minerals
"Calcium, Ca",mg,149,40
"Iron, Fe",mg,4.01,1.08
"Magnesium, Mg",mg,34,9
"Phosphorus, P",mg,146,39
"Potassium, K",mg,193,52
"Sodium, Na",mg,483,130
"Zinc, Zn",mg,0.73,0.20
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.276,0.075
"Riboflavin",mg,0.296,0.080
"Niacin",mg,2.102,0.568
"Vitamin B-6",mg,0.046,0.012
"Folate, DFE",µg,105,28
"Vitamin B-12",µg,0.18,0.05
"Vitamin A, RAE",µg,1,0
"Vitamin A, IU",IU,2,1
"Vitamin E (alpha-tocopherol)",mg,1.13,0.31
"Vitamin D (D2 + D3)",µg,0.2,0.1
"Vitamin D",IU,8,2
"Vitamin K (phylloquinone)",µg,7.5,2.0
Lipids
"Fatty acids, total saturated",g,5.570,1.504
"Fatty acids, total monounsaturated",g,3.517,0.950
"Fatty acids, total polyunsaturated",g,3.034,0.819
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,93,25
Amino Acids
Other
"Caffeine",mg,4,1
