Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:34 EST
"Nutrient data for: 18188, Cookies, peanut butter, refrigerated dough, baked"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 cookie = 12.0g",
Proximates
"Water",g,4.00,1.13,0.48
"Energy",kcal,503,143,60
"Protein",g,9.10,2.58,1.09
"Total lipid (fat)",g,27.50,7.80,3.30
"Carbohydrate, by difference",g,57.30,16.24,6.88
"Fiber, total dietary",g,1.2,0.3,0.1
Minerals
"Calcium, Ca",mg,111,31,13
"Iron, Fe",mg,1.87,0.53,0.22
"Magnesium, Mg",mg,41,12,5
"Phosphorus, P",mg,264,75,32
"Potassium, K",mg,338,96,41
"Sodium, Na",mg,436,124,52
"Zinc, Zn",mg,0.75,0.21,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.168,0.048,0.020
"Riboflavin",mg,0.184,0.052,0.022
"Niacin",mg,4.098,1.162,0.492
"Vitamin B-6",mg,0.064,0.018,0.008
"Folate, DFE",µg,69,20,8
"Vitamin B-12",µg,0.06,0.02,0.01
"Vitamin A, RAE",µg,14,4,2
"Vitamin A, IU",IU,46,13,6
Lipids
"Fatty acids, total saturated",g,6.199,1.757,0.744
"Fatty acids, total monounsaturated",g,14.526,4.118,1.743
"Fatty acids, total polyunsaturated",g,4.889,1.386,0.587
"Cholesterol",mg,30,9,4
Amino Acids
Other
