Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:35 EST
"Nutrient data for: 18210, Cookies, vanilla sandwich with creme filling"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 cookie, oval (3-1/8"" x 1-1/4"" x 3/8"") = 15.0g","1 cookie, round (1-3/4"" dia) = 10.0g",
Proximates
"Water",g,2.20,0.62,0.33,0.22
"Energy",kcal,483,137,72,48
"Protein",g,4.50,1.28,0.68,0.45
"Total lipid (fat)",g,20.00,5.67,3.00,2.00
"Carbohydrate, by difference",g,72.10,20.44,10.81,7.21
"Fiber, total dietary",g,1.5,0.4,0.2,0.1
"Sugars, total",g,39.30,11.14,5.89,3.93
Minerals
"Calcium, Ca",mg,27,8,4,3
"Iron, Fe",mg,2.21,0.63,0.33,0.22
"Magnesium, Mg",mg,14,4,2,1
"Phosphorus, P",mg,75,21,11,8
"Potassium, K",mg,91,26,14,9
"Sodium, Na",mg,349,99,52,35
"Zinc, Zn",mg,0.40,0.11,0.06,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.261,0.074,0.039,0.026
"Riboflavin",mg,0.243,0.069,0.036,0.024
"Niacin",mg,2.690,0.763,0.404,0.269
"Vitamin B-6",mg,0.018,0.005,0.003,0.002
"Folate, DFE",µg,82,23,12,8
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,1.60,0.45,0.24,0.16
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,5.0,1.4,0.8,0.5
Lipids
"Fatty acids, total saturated",g,2.979,0.845,0.447,0.298
"Fatty acids, total monounsaturated",g,8.437,2.392,1.266,0.844
"Fatty acids, total polyunsaturated",g,7.551,2.141,1.133,0.755
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
