Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:43 EST
"Nutrient data for: 28231, MURRAY, SUGAR FREE, Vanilla Wafer"
Nutrient,Unit,1Value per 100 g,"9.0 cookies = 32.0g",
Proximates
"Water",g,3.00,0.96
"Energy",kcal,412,132
"Protein",g,5.90,1.89
"Total lipid (fat)",g,16.80,5.38
"Carbohydrate, by difference",g,74.00,23.68
"Fiber, total dietary",g,5.6,1.8
"Sugars, total",g,1.40,0.45
Minerals
"Iron, Fe",mg,2.40,0.77
"Magnesium, Mg",mg,12,4
"Phosphorus, P",mg,59,19
"Potassium, K",mg,82,26
"Sodium, Na",mg,281,90
"Zinc, Zn",mg,0.40,0.13
Vitamins
"Thiamin",mg,0.390,0.125
"Riboflavin",mg,0.270,0.086
"Niacin",mg,3.000,0.960
"Vitamin B-6",mg,0.080,0.026
Lipids
"Fatty acids, total saturated",g,5.400,1.728
"Fatty acids, total monounsaturated",g,3.700,1.184
"Fatty acids, total polyunsaturated",g,6.100,1.952
"Fatty acids, total trans",g,0.260,0.083
"Cholesterol",mg,5,2
Amino Acids
Other
