Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:44 EST
"Nutrient data for: 18305, Pie, blueberry, commercially prepared"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 piece (1/8 of 9"" dia) = 125.0g","1 piece (1/6 of 8"" pie) = 117.0g",
Proximates
"Water",g,52.50,14.88,65.62,61.42
"Energy",kcal,232,66,290,271
"Protein",g,1.80,0.51,2.25,2.11
"Total lipid (fat)",g,10.00,2.83,12.50,11.70
"Carbohydrate, by difference",g,34.90,9.89,43.62,40.83
"Fiber, total dietary",g,1.0,0.3,1.2,1.2
"Sugars, total",g,9.89,2.80,12.36,11.57
Minerals
"Calcium, Ca",mg,8,2,10,9
"Iron, Fe",mg,0.30,0.09,0.38,0.35
"Magnesium, Mg",mg,5,1,6,6
"Phosphorus, P",mg,23,7,29,27
"Potassium, K",mg,50,14,62,58
"Sodium, Na",mg,287,81,359,336
"Zinc, Zn",mg,0.16,0.05,0.20,0.19
Vitamins
"Vitamin C, total ascorbic acid",mg,2.7,0.8,3.4,3.2
"Thiamin",mg,0.010,0.003,0.013,0.012
"Riboflavin",mg,0.030,0.009,0.037,0.035
"Niacin",mg,0.300,0.085,0.375,0.351
"Vitamin B-6",mg,0.037,0.010,0.046,0.043
"Folate, DFE",µg,43,12,54,50
"Vitamin B-12",µg,0.01,0.00,0.01,0.01
"Vitamin A, RAE",µg,44,12,55,51
"Vitamin A, IU",IU,140,40,175,164
"Vitamin E (alpha-tocopherol)",mg,1.04,0.29,1.30,1.22
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,10.5,3.0,13.1,12.3
Lipids
"Fatty acids, total saturated",g,1.679,0.476,2.099,1.964
"Fatty acids, total monounsaturated",g,4.244,1.203,5.305,4.965
"Fatty acids, total polyunsaturated",g,3.524,0.999,4.405,4.123
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
