Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:44 EST
"Nutrient data for: 18313, Pie, coconut creme, commercially prepared"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 piece (1/6 of 7"" pie) = 64.0g","1 piece (1/8 of 7"" pie) = 48.0g",
Proximates
"Water",g,43.20,12.25,27.65,20.74
"Energy",kcal,298,84,191,143
"Protein",g,2.10,0.60,1.34,1.01
"Total lipid (fat)",g,16.60,4.71,10.62,7.97
"Carbohydrate, by difference",g,37.30,10.57,23.87,17.90
"Fiber, total dietary",g,1.3,0.4,0.8,0.6
"Sugars, total",g,18.52,5.25,11.85,8.89
Minerals
"Calcium, Ca",mg,29,8,19,14
"Iron, Fe",mg,0.80,0.23,0.51,0.38
"Magnesium, Mg",mg,20,6,13,10
"Phosphorus, P",mg,85,24,54,41
"Potassium, K",mg,65,18,42,31
"Sodium, Na",mg,204,58,131,98
"Zinc, Zn",mg,0.47,0.13,0.30,0.23
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.050,0.014,0.032,0.024
"Riboflavin",mg,0.080,0.023,0.051,0.038
"Niacin",mg,0.200,0.057,0.128,0.096
"Vitamin B-6",mg,0.068,0.019,0.044,0.033
"Folate, DFE",µg,8,2,5,4
"Vitamin B-12",µg,0.12,0.03,0.08,0.06
"Vitamin A, RAE",µg,27,8,17,13
"Vitamin A, IU",IU,90,26,58,43
"Vitamin E (alpha-tocopherol)",mg,0.15,0.04,0.10,0.07
"Vitamin D (D2 + D3)",µg,0.2,0.1,0.1,0.1
"Vitamin D",IU,6,2,4,3
"Vitamin K (phylloquinone)",µg,5.3,1.5,3.4,2.5
Lipids
"Fatty acids, total saturated",g,6.976,1.978,4.465,3.348
"Fatty acids, total monounsaturated",g,7.260,2.058,4.646,3.485
"Fatty acids, total polyunsaturated",g,1.544,0.438,0.988,0.741
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
