Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:45 EST
"Nutrient data for: 18339, Popovers, dry mix, enriched"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 package (6 oz) = 170.0g",
Proximates
"Water",g,11.70,3.32,19.89
"Energy",kcal,371,105,631
"Protein",g,10.40,2.95,17.68
"Total lipid (fat)",g,4.30,1.22,7.31
"Carbohydrate, by difference",g,71.00,20.13,120.70
Minerals
"Calcium, Ca",mg,32,9,54
"Iron, Fe",mg,2.97,0.84,5.05
"Magnesium, Mg",mg,25,7,42
"Phosphorus, P",mg,100,28,170
"Potassium, K",mg,100,28,170
"Sodium, Na",mg,906,257,1540
"Zinc, Zn",mg,0.88,0.25,1.50
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,0.0,0.2
"Thiamin",mg,0.430,0.122,0.731
"Riboflavin",mg,0.147,0.042,0.250
"Niacin",mg,3.378,0.958,5.743
"Vitamin B-6",mg,0.042,0.012,0.071
"Folate, DFE",µg,229,65,389
"Vitamin B-12",µg,0.08,0.02,0.14
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.983,0.279,1.671
"Fatty acids, total monounsaturated",g,1.984,0.562,3.373
"Fatty acids, total polyunsaturated",g,0.823,0.233,1.399
"Cholesterol",mg,0,0,0
Amino Acids
Other
