Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:46 EST
"Nutrient data for: 18481, Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted cherry"
Nutrient,Unit,1Value per 100 g,"1 pastry = 52.0g",
Proximates
"Water",g,12.50,6.50
"Energy",kcal,397,206
"Protein",g,4.20,2.18
"Total lipid (fat)",g,10.20,5.30
"Carbohydrate, by difference",g,72.00,37.44
"Fiber, total dietary",g,1.0,0.5
"Sugars, total",g,36.00,18.72
Minerals
"Calcium, Ca",mg,25,13
"Iron, Fe",mg,3.50,1.82
"Magnesium, Mg",mg,14,7
"Phosphorus, P",mg,80,42
"Potassium, K",mg,95,49
"Sodium, Na",mg,320,166
"Zinc, Zn",mg,1.46,0.76
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.290,0.151
"Riboflavin",mg,0.330,0.172
"Niacin",mg,3.850,2.002
"Vitamin B-6",mg,0.390,0.203
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,289,150
"Vitamin A, IU",IU,962,500
Lipids
"Fatty acids, total saturated",g,1.940,1.009
"Fatty acids, total monounsaturated",g,6.690,3.479
"Fatty acids, total polyunsaturated",g,1.580,0.822
"Cholesterol",mg,0,0
Amino Acids
Other
