Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:32 EST
"Nutrient data for: 23304, Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean and fat, Aust. marble score 4/5, raw"
Nutrient,Unit,1Value per 100 g,"4.0 oz = 114.0g","1 steak = 152.0g",
Proximates
"Water",g,65.20,74.33,99.10
"Energy",kcal,206,235,313
"Protein",g,19.71,22.47,29.96
"Total lipid (fat)",g,14.09,16.06,21.42
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,4,5,6
"Iron, Fe",mg,2.20,2.51,3.34
"Sodium, Na",mg,63,72,96
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Vitamin A, RAE",µg,1,1,2
"Vitamin A, IU",IU,3,3,5
Lipids
"Fatty acids, total saturated",g,6.105,6.960,9.280
"Fatty acids, total monounsaturated",g,6.167,7.030,9.374
"Fatty acids, total polyunsaturated",g,0.531,0.605,0.807
"Fatty acids, total trans",g,0.564,0.643,0.857
"Cholesterol",mg,60,68,91
Amino Acids
Other
"Caffeine",mg,0,0,0
