Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:32 EST
"Nutrient data for: 23647, Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 roast = 591.0g",
Proximates
"Water",g,63.79,54.22,377.00
"Energy",kcal,193,164,1141
"Protein",g,26.34,22.39,155.67
"Total lipid (fat)",g,9.73,8.27,57.50
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,15,13,89
"Iron, Fe",mg,1.77,1.50,10.46
"Magnesium, Mg",mg,22,19,130
"Phosphorus, P",mg,202,172,1194
"Potassium, K",mg,324,275,1915
"Sodium, Na",mg,54,46,319
"Zinc, Zn",mg,4.90,4.17,28.96
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.070,0.060,0.414
"Riboflavin",mg,0.135,0.115,0.798
"Niacin",mg,7.770,6.604,45.921
"Vitamin B-6",mg,0.548,0.466,3.239
"Folate, DFE",µg,9,8,53
"Vitamin B-12",µg,1.64,1.39,9.69
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.39,0.33,2.30
"Vitamin K (phylloquinone)",µg,1.4,1.2,8.3
Lipids
"Fatty acids, total saturated",g,3.527,2.998,20.845
"Fatty acids, total monounsaturated",g,4.907,4.171,29.000
"Fatty acids, total polyunsaturated",g,0.312,0.265,1.844
"Cholesterol",mg,80,68,473
Amino Acids
Other
"Caffeine",mg,0,0,0
