Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:34 EST
"Nutrient data for: 13378, Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, select, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 roast (yield from 1675 g raw meat) = 1236.0g",
Proximates
"Water",g,61.20,52.02,756.43
"Energy",kcal,195,166,2410
"Protein",g,33.37,28.36,412.45
"Total lipid (fat)",g,5.80,4.93,71.69
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,17,14,210
"Iron, Fe",mg,2.77,2.35,34.24
"Magnesium, Mg",mg,22,19,272
"Phosphorus, P",mg,207,176,2559
"Potassium, K",mg,270,230,3337
"Sodium, Na",mg,55,47,680
"Zinc, Zn",mg,8.09,6.88,99.99
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.071,0.060,0.878
"Riboflavin",mg,0.205,0.174,2.534
"Niacin",mg,4.829,4.105,59.686
"Vitamin B-6",mg,0.309,0.263,3.819
"Folate, DFE",µg,11,9,136
"Vitamin B-12",µg,2.25,1.91,27.81
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.40,0.34,4.94
"Vitamin K (phylloquinone)",µg,1.4,1.2,17.3
Lipids
"Fatty acids, total saturated",g,2.194,1.865,27.118
"Fatty acids, total monounsaturated",g,2.469,2.099,30.517
"Fatty acids, total polyunsaturated",g,0.202,0.172,2.497
"Cholesterol",mg,98,83,1211
Amino Acids
Other
"Caffeine",mg,0,0,0
