Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:36 EST
"Nutrient data for: 13982, Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 piece = 289.0g",
Proximates
"Water",g,57.05,48.49,164.87
"Energy",kcal,240,204,694
"Protein",g,28.82,24.50,83.29
"Total lipid (fat)",g,13.80,11.73,39.88
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,12,40
"Iron, Fe",mg,3.20,2.72,9.25
"Magnesium, Mg",mg,23,20,66
"Phosphorus, P",mg,201,171,581
"Potassium, K",mg,276,235,798
"Sodium, Na",mg,75,64,217
"Zinc, Zn",mg,11.99,10.19,34.65
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.100,0.085,0.289
"Riboflavin",mg,0.263,0.224,0.760
"Niacin",mg,3.523,2.995,10.181
"Vitamin B-6",mg,0.308,0.262,0.890
"Folate, DFE",µg,7,6,20
"Vitamin B-12",µg,3.92,3.33,11.33
"Vitamin A, RAE",µg,2,2,6
"Vitamin A, IU",IU,6,5,17
"Vitamin E (alpha-tocopherol)",mg,0.09,0.08,0.26
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,6,5,17
"Vitamin K (phylloquinone)",µg,1.6,1.4,4.6
Lipids
"Fatty acids, total saturated",g,3.890,3.307,11.242
"Fatty acids, total monounsaturated",g,8.890,7.557,25.692
"Fatty acids, total polyunsaturated",g,0.780,0.663,2.254
"Fatty acids, total trans",g,0.891,0.757,2.575
"Cholesterol",mg,105,89,303
Amino Acids
Other
"Caffeine",mg,0,0,0
