Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:37 EST
"Nutrient data for: 13499, Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 458.0g",
Proximates
"Water",g,70.62,60.03,323.44
"Energy",kcal,157,133,719
"Protein",g,19.71,16.75,90.27
"Total lipid (fat)",g,8.54,7.26,39.11
"Carbohydrate, by difference",g,0.21,0.18,0.96
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,11,9,50
"Iron, Fe",mg,2.43,2.07,11.13
"Magnesium, Mg",mg,20,17,92
"Phosphorus, P",mg,186,158,852
"Potassium, K",mg,329,280,1507
"Sodium, Na",mg,77,65,353
"Zinc, Zn",mg,7.76,6.60,35.54
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.080,0.068,0.366
"Riboflavin",mg,0.190,0.161,0.870
"Niacin",mg,3.340,2.839,15.297
"Vitamin B-6",mg,0.430,0.365,1.969
"Folate, DFE",µg,3,3,14
"Vitamin B-12",µg,3.32,2.82,15.21
"Vitamin A, RAE",µg,2,2,9
"Vitamin A, IU",IU,8,7,37
"Vitamin E (alpha-tocopherol)",mg,0.12,0.10,0.55
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.5
"Vitamin D",IU,4,3,18
"Vitamin K (phylloquinone)",µg,1.5,1.3,6.9
Lipids
"Fatty acids, total saturated",g,3.449,2.932,15.796
"Fatty acids, total monounsaturated",g,4.048,3.441,18.540
"Fatty acids, total polyunsaturated",g,0.452,0.384,2.070
"Fatty acids, total trans",g,0.514,0.437,2.354
"Cholesterol",mg,68,58,311
Amino Acids
Other
"Caffeine",mg,0,0,0
