Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:40 EST
"Nutrient data for: 13498, Beef, ground, 70% lean meat / 30% fat, raw"
Nutrient,Unit,1Value per 100 g,"4.0 oz = 113.0g","1 oz = 28.35g",
Proximates
"Water",g,54.30,61.36,15.39
"Energy",kcal,332,375,94
"Protein",g,14.35,16.22,4.07
"Total lipid (fat)",g,30.00,33.90,8.51
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,24,27,7
"Iron, Fe",mg,1.64,1.85,0.46
"Magnesium, Mg",mg,14,16,4
"Phosphorus, P",mg,132,149,37
"Potassium, K",mg,218,246,62
"Sodium, Na",mg,66,75,19
"Zinc, Zn",mg,3.57,4.03,1.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.044,0.050,0.012
"Riboflavin",mg,0.151,0.171,0.043
"Niacin",mg,3.382,3.822,0.959
"Vitamin B-6",mg,0.278,0.314,0.079
"Folate, DFE",µg,9,10,3
"Vitamin B-12",µg,2.07,2.34,0.59
"Vitamin A, RAE",µg,4,5,1
"Vitamin A, IU",IU,14,16,4
"Vitamin E (alpha-tocopherol)",mg,0.17,0.19,0.05
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.0
"Vitamin D",IU,3,3,1
"Vitamin K (phylloquinone)",µg,2.9,3.3,0.8
Lipids
"Fatty acids, total saturated",g,11.754,13.282,3.332
"Fatty acids, total monounsaturated",g,14.171,16.013,4.017
"Fatty acids, total polyunsaturated",g,0.697,0.788,0.198
"Fatty acids, total trans",g,1.820,2.057,0.516
"Cholesterol",mg,78,88,22
Amino Acids
Other
"Caffeine",mg,0,0,0
