Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:41 EST
"Nutrient data for: 23343, Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 168.0g",
Proximates
"Water",g,71.30,60.60,119.78
"Energy",kcal,150,128,252
"Protein",g,21.57,18.33,36.24
"Total lipid (fat)",g,7.10,6.04,11.93
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,12,24
"Iron, Fe",mg,2.53,2.15,4.25
"Magnesium, Mg",mg,12,10,20
"Phosphorus, P",mg,209,178,351
"Potassium, K",mg,280,238,470
"Sodium, Na",mg,44,37,74
"Zinc, Zn",mg,3.22,2.74,5.41
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.050,0.043,0.084
"Riboflavin",mg,0.302,0.257,0.507
"Niacin",mg,4.473,3.802,7.515
"Vitamin B-6",mg,0.603,0.513,1.013
"Folate, DFE",µg,3,3,5
"Vitamin B-12",µg,3.36,2.86,5.64
"Vitamin A, RAE",µg,3,3,5
"Vitamin A, IU",IU,11,9,18
"Vitamin E (alpha-tocopherol)",mg,0.18,0.15,0.30
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.2
"Vitamin D",IU,2,2,3
"Vitamin K (phylloquinone)",µg,1.5,1.3,2.5
Lipids
"Fatty acids, total saturated",g,2.548,2.166,4.281
"Fatty acids, total monounsaturated",g,2.813,2.391,4.726
"Fatty acids, total polyunsaturated",g,0.485,0.412,0.815
"Fatty acids, total trans",g,0.357,0.303,0.600
"Cholesterol",mg,60,51,101
Amino Acids
Other
"Caffeine",mg,0,0,0
