Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:42 EST
"Nutrient data for: 23371, Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 268.0g",
Proximates
"Water",g,71.68,60.93,192.10
"Energy",kcal,135,115,362
"Protein",g,23.30,19.80,62.44
"Total lipid (fat)",g,4.66,3.96,12.49
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,12,38
"Iron, Fe",mg,1.73,1.47,4.64
"Magnesium, Mg",mg,12,10,32
"Phosphorus, P",mg,210,178,563
"Potassium, K",mg,288,245,772
"Sodium, Na",mg,47,40,126
"Zinc, Zn",mg,3.64,3.09,9.76
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.060,0.051,0.161
"Riboflavin",mg,0.220,0.187,0.590
"Niacin",mg,6.435,5.470,17.246
"Vitamin B-6",mg,0.563,0.479,1.509
"Folate, DFE",µg,4,3,11
"Vitamin B-12",µg,1.88,1.60,5.04
"Vitamin A, RAE",µg,2,2,5
"Vitamin A, IU",IU,7,6,19
"Vitamin E (alpha-tocopherol)",mg,0.20,0.17,0.54
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,2,2,5
"Vitamin K (phylloquinone)",µg,1.5,1.3,4.0
Lipids
"Fatty acids, total saturated",g,1.824,1.550,4.888
"Fatty acids, total monounsaturated",g,2.055,1.747,5.507
"Fatty acids, total polyunsaturated",g,0.317,0.269,0.850
"Fatty acids, total trans",g,0.250,0.212,0.670
"Cholesterol",mg,62,53,166
Amino Acids
Other
"Caffeine",mg,0,0,0
