Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:42 EST
"Nutrient data for: 23280, Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 156.0g",
Proximates
"Water",g,56.90,48.37,88.76
"Energy",kcal,249,212,388
"Protein",g,25.50,21.68,39.78
"Total lipid (fat)",g,16.10,13.69,25.12
"Carbohydrate, by difference",g,0.40,0.34,0.62
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,6,5,9
"Iron, Fe",mg,3.19,2.71,4.98
"Magnesium, Mg",mg,24,20,37
"Phosphorus, P",mg,217,184,339
"Potassium, K",mg,342,291,534
"Sodium, Na",mg,78,66,122
"Zinc, Zn",mg,9.88,8.40,15.41
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.080,0.068,0.125
"Riboflavin",mg,0.385,0.327,0.601
"Niacin",mg,4.093,3.479,6.385
"Vitamin B-6",mg,0.413,0.351,0.644
"Folate, DFE",µg,6,5,9
"Vitamin B-12",µg,2.71,2.30,4.23
"Vitamin A, RAE",µg,8,7,12
"Vitamin A, IU",IU,26,22,41
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.2
"Vitamin D",IU,6,5,9
"Vitamin K (phylloquinone)",µg,1.6,1.4,2.5
Lipids
"Fatty acids, total saturated",g,5.737,4.876,8.950
"Fatty acids, total monounsaturated",g,8.115,6.898,12.659
"Fatty acids, total polyunsaturated",g,0.598,0.508,0.933
"Fatty acids, total trans",g,0.731,0.621,1.140
"Cholesterol",mg,85,72,133
Amino Acids
Other
"Caffeine",mg,0,0,0
