Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:45 EST
"Nutrient data for: 13979, Beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g",
Proximates
"Water",g,59.17,50.29
"Energy",kcal,233,198
"Protein",g,24.18,20.55
"Total lipid (fat)",g,14.37,12.21
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,10,8
"Iron, Fe",mg,2.66,2.26
"Magnesium, Mg",mg,25,21
"Phosphorus, P",mg,221,188
"Potassium, K",mg,393,334
"Sodium, Na",mg,94,80
"Zinc, Zn",mg,5.72,4.86
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.119,0.101
"Riboflavin",mg,0.195,0.166
"Niacin",mg,4.331,3.681
"Vitamin B-6",mg,0.495,0.421
"Folate, DFE",µg,8,7
"Vitamin B-12",µg,4.30,3.65
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.11,0.09
Lipids
"Fatty acids, total saturated",g,5.970,5.074
"Fatty acids, total monounsaturated",g,7.380,6.273
"Fatty acids, total polyunsaturated",g,0.600,0.510
"Cholesterol",mg,91,77
Amino Acids
Other
"Caffeine",mg,0,0
