Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:48 EST
"Nutrient data for: 23149, Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 306.0g",
Proximates
"Water",g,62.56,53.18,191.43
"Energy",kcal,192,163,588
"Protein",g,28.98,24.63,88.68
"Total lipid (fat)",g,8.48,7.21,25.95
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,6,5,18
"Iron, Fe",mg,2.34,1.99,7.16
"Magnesium, Mg",mg,26,22,80
"Phosphorus, P",mg,181,154,554
"Potassium, K",mg,318,270,973
"Sodium, Na",mg,59,50,181
"Zinc, Zn",mg,7.05,5.99,21.57
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.080,0.068,0.245
"Riboflavin",mg,0.305,0.259,0.933
"Niacin",mg,6.180,5.253,18.911
"Vitamin B-6",mg,0.623,0.530,1.906
"Folate, DFE",µg,7,6,21
"Vitamin B-12",µg,2.25,1.91,6.88
"Vitamin A, RAE",µg,2,2,6
"Vitamin A, IU",IU,7,6,21
"Vitamin E (alpha-tocopherol)",mg,0.07,0.06,0.21
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,3,3,9
"Vitamin K (phylloquinone)",µg,1.6,1.4,4.9
Lipids
"Fatty acids, total saturated",g,3.534,3.004,10.814
"Fatty acids, total monounsaturated",g,4.015,3.413,12.286
"Fatty acids, total polyunsaturated",g,0.539,0.458,1.649
"Fatty acids, total trans",g,0.434,0.369,1.328
"Cholesterol",mg,77,65,236
Amino Acids
Other
"Caffeine",mg,0,0,0
