Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:51 EST
"Nutrient data for: 23332, Beef, round, eye of round roast, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 roast = 699.0g",
Proximates
"Water",g,73.40,62.39,513.07
"Energy",kcal,120,102,839
"Protein",g,23.28,19.79,162.73
"Total lipid (fat)",g,3.00,2.55,20.97
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,13,11,91
"Iron, Fe",mg,1.37,1.16,9.58
"Magnesium, Mg",mg,11,9,77
"Phosphorus, P",mg,221,188,1545
"Potassium, K",mg,309,263,2160
"Sodium, Na",mg,50,42,350
"Zinc, Zn",mg,3.36,2.86,23.49
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.063,0.054,0.440
"Riboflavin",mg,0.184,0.156,1.286
"Niacin",mg,6.548,5.566,45.771
"Vitamin B-6",mg,0.634,0.539,4.432
"Folate, DFE",µg,4,3,28
"Vitamin B-12",µg,2.06,1.75,14.40
"Vitamin A, RAE",µg,5,4,35
"Vitamin A, IU",IU,17,14,119
"Vitamin E (alpha-tocopherol)",mg,0.22,0.19,1.54
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,1,1,7
"Vitamin K (phylloquinone)",µg,1.5,1.3,10.5
Lipids
"Fatty acids, total saturated",g,1.229,1.045,8.591
"Fatty acids, total monounsaturated",g,1.383,1.176,9.667
"Fatty acids, total polyunsaturated",g,0.231,0.196,1.615
"Fatty acids, total trans",g,0.170,0.145,1.188
"Cholesterol",mg,62,53,433
Amino Acids
Other
"Caffeine",mg,0,0,0
