Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:52 EST
"Nutrient data for: 13877, Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,69.31,19.65,314.39
"Energy",kcal,166,47,753
"Protein",g,21.49,6.09,97.48
"Total lipid (fat)",g,8.24,2.34,37.38
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,20,6,91
"Iron, Fe",mg,1.81,0.51,8.21
"Magnesium, Mg",mg,23,7,104
"Phosphorus, P",mg,207,59,939
"Potassium, K",mg,340,96,1542
"Sodium, Na",mg,58,16,263
"Zinc, Zn",mg,3.98,1.13,18.05
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.085,0.024,0.386
"Riboflavin",mg,0.131,0.037,0.594
"Niacin",mg,6.420,1.820,29.121
"Vitamin B-6",mg,0.637,0.181,2.889
"Folate, DFE",µg,12,3,54
"Vitamin B-12",µg,1.55,0.44,7.03
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.33,0.09,1.50
"Vitamin K (phylloquinone)",µg,1.3,0.4,5.9
Lipids
"Fatty acids, total saturated",g,3.245,0.920,14.719
"Fatty acids, total monounsaturated",g,3.561,1.010,16.153
"Fatty acids, total polyunsaturated",g,0.315,0.089,1.429
"Cholesterol",mg,68,19,308
Amino Acids
Other
"Caffeine",mg,0,0,0
