Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:54 EST
"Nutrient data for: 23356, Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 344.0g",
Proximates
"Water",g,73.40,62.39,252.50
"Energy",kcal,116,99,399
"Protein",g,23.59,20.05,81.15
"Total lipid (fat)",g,2.45,2.08,8.43
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,13,11,45
"Iron, Fe",mg,2.34,1.99,8.05
"Magnesium, Mg",mg,12,10,41
"Phosphorus, P",mg,220,187,757
"Potassium, K",mg,316,269,1087
"Sodium, Na",mg,55,47,189
"Zinc, Zn",mg,3.54,3.01,12.18
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.064,0.054,0.220
"Riboflavin",mg,0.250,0.212,0.860
"Niacin",mg,6.155,5.232,21.173
"Vitamin B-6",mg,0.626,0.532,2.153
"Folate, DFE",µg,4,3,14
"Vitamin B-12",µg,1.63,1.39,5.61
"Vitamin A, RAE",µg,2,2,7
"Vitamin A, IU",IU,7,6,24
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,0.72
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,1,1,3
"Vitamin K (phylloquinone)",µg,1.5,1.3,5.2
Lipids
"Fatty acids, total saturated",g,0.920,0.782,3.165
"Fatty acids, total monounsaturated",g,1.003,0.853,3.450
"Fatty acids, total polyunsaturated",g,0.210,0.178,0.722
"Fatty acids, total trans",g,0.128,0.109,0.440
"Cholesterol",mg,63,54,217
Amino Acids
Other
"Caffeine",mg,0,0,0
