Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:55 EST
"Nutrient data for: 23004, Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 426.0g",
Proximates
"Water",g,56.87,48.34,242.27
"Energy",kcal,263,224,1120
"Protein",g,26.21,22.28,111.65
"Total lipid (fat)",g,16.75,14.24,71.36
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,20,17,85
"Iron, Fe",mg,3.20,2.72,13.63
"Magnesium, Mg",mg,20,17,85
"Phosphorus, P",mg,212,180,903
"Potassium, K",mg,259,220,1103
"Sodium, Na",mg,63,54,268
"Zinc, Zn",mg,4.26,3.62,18.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.060,0.051,0.256
"Riboflavin",mg,0.229,0.195,0.976
"Niacin",mg,5.304,4.508,22.595
"Vitamin B-6",mg,0.572,0.486,2.437
"Folate, DFE",µg,6,5,26
"Vitamin B-12",µg,2.07,1.76,8.82
"Vitamin A, RAE",µg,8,7,34
"Vitamin A, IU",IU,26,22,111
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,0.89
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.4
"Vitamin D",IU,5,4,21
"Vitamin K (phylloquinone)",µg,1.6,1.4,6.8
Lipids
"Fatty acids, total saturated",g,6.843,5.817,29.151
"Fatty acids, total monounsaturated",g,7.469,6.349,31.818
"Fatty acids, total polyunsaturated",g,0.737,0.626,3.140
"Fatty acids, total trans",g,1.049,0.892,4.469
"Cholesterol",mg,79,67,337
Amino Acids
Other
"Caffeine",mg,0,0,0
