Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:22 EST
"Nutrient data for: 14648, Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin"
Nutrient,Unit,1Value per 100 g,"8.0 fl oz = 237.0g",
Proximates
"Water",g,86.39,204.74
"Energy",kcal,54,128
"Protein",g,0.13,0.31
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,13.16,31.19
"Fiber, total dietary",g,0.1,0.2
"Sugars, total",g,12.11,28.70
Minerals
"Calcium, Ca",mg,3,7
"Iron, Fe",mg,0.25,0.59
"Magnesium, Mg",mg,5,12
"Phosphorus, P",mg,7,17
"Potassium, K",mg,122,289
"Sodium, Na",mg,61,145
"Zinc, Zn",mg,0.04,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,25.4,60.2
"Thiamin",mg,0.095,0.225
"Riboflavin",mg,0.014,0.033
"Niacin",mg,0.036,0.085
"Vitamin B-6",mg,0.032,0.076
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,5,12
"Vitamin A, IU",IU,17,40
"Vitamin E (alpha-tocopherol)",mg,0.05,0.12
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
