Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:23 EST
"Nutrient data for: 14221, Beverages, OCEAN SPRAY, Diet Cranberry Juice"
Nutrient,Unit,1Value per 100 g,"8.0 fl oz = 237.0g",
Proximates
"Water",g,99.20,235.10
"Energy",kcal,4,9
"Protein",g,0.07,0.17
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,0.80,1.90
"Fiber, total dietary",g,0.6,1.4
"Sugars, total",g,0.25,0.59
Minerals
"Calcium, Ca",mg,3,7
"Iron, Fe",mg,0.04,0.09
"Magnesium, Mg",mg,1,2
"Phosphorus, P",mg,0,0
"Potassium, K",mg,8,19
"Sodium, Na",mg,7,17
"Zinc, Zn",mg,0.03,0.07
Vitamins
"Vitamin C, total ascorbic acid",mg,39.1,92.7
"Thiamin",mg,0.000,0.000
"Riboflavin",mg,0.000,0.000
"Niacin",mg,0.026,0.062
"Vitamin B-6",mg,0.000,0.000
"Folate, DFE",µg,8,19
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,1,2
"Vitamin A, IU",IU,25,59
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.001,0.002
"Fatty acids, total monounsaturated",g,0.001,0.002
"Fatty acids, total polyunsaturated",g,0.001,0.002
"Fatty acids, total trans",g,0.001,0.002
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
