Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:58 EST
"Nutrient data for: 08568, Cereals, KASHI HEART TO HEART, Instant Oatmeal, Apple Cinnamon, dry"
Nutrient,Unit,1Value per 100 g,"1 packet (1 NLEA serving) = 43.0g",
Proximates
"Water",g,8.39,3.61
"Energy",kcal,353,152
"Protein",g,11.10,4.77
"Total lipid (fat)",g,5.00,2.15
"Carbohydrate, by difference",g,73.80,31.73
"Fiber, total dietary",g,12.5,5.4
"Sugars, total",g,25.00,10.75
Minerals
"Calcium, Ca",mg,47,20
"Iron, Fe",mg,2.40,1.03
"Potassium, K",mg,640,275
"Sodium, Na",mg,206,89
Vitamins
"Vitamin C, total ascorbic acid",mg,2.0,0.9
"Vitamin A, IU",IU,14,6
Lipids
"Fatty acids, total saturated",g,1.000,0.430
"Fatty acids, total monounsaturated",g,1.890,0.813
"Fatty acids, total polyunsaturated",g,2.090,0.899
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
