Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:59 EST
"Nutrient data for: 08132, Cereals, oats, instant, fortified, with raisins and spice, dry"
Nutrient,Unit,1Value per 100 g,"1 packet = 44.0g",
Proximates
"Water",g,8.44,3.71
"Energy",kcal,360,158
"Protein",g,8.45,3.72
"Total lipid (fat)",g,4.03,1.77
"Carbohydrate, by difference",g,76.33,33.59
"Fiber, total dietary",g,5.7,2.5
"Sugars, total",g,37.14,16.34
Minerals
"Calcium, Ca",mg,228,100
"Iron, Fe",mg,9.43,4.15
"Magnesium, Mg",mg,79,35
"Phosphorus, P",mg,273,120
"Potassium, K",mg,362,159
"Sodium, Na",mg,462,203
"Zinc, Zn",mg,1.76,0.77
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,0.3
"Thiamin",mg,0.846,0.372
"Riboflavin",mg,0.684,0.301
"Niacin",mg,10.513,4.626
"Vitamin B-6",mg,1.079,0.475
"Folate, DFE",µg,348,153
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,589,259
"Vitamin A, IU",IU,1962,863
"Vitamin E (alpha-tocopherol)",mg,0.40,0.18
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,2.3,1.0
Lipids
"Fatty acids, total saturated",g,0.639,0.281
"Fatty acids, total monounsaturated",g,1.207,0.531
"Fatty acids, total polyunsaturated",g,1.274,0.561
"Fatty acids, total trans",g,0.035,0.015
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
