Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:59 EST
"Nutrient data for: 08093, Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt"
Nutrient,Unit,1Value per 100 g,"1 cup = 219.0g",
Proximates
"Water",g,81.22,177.87
"Energy",kcal,74,162
"Protein",g,1.58,3.46
"Total lipid (fat)",g,0.49,1.07
"Carbohydrate, by difference",g,15.95,34.93
"Fiber, total dietary",g,1.1,2.4
"Sugars, total",g,0.10,0.22
Minerals
"Calcium, Ca",mg,64,140
"Iron, Fe",mg,6.71,14.69
"Magnesium, Mg",mg,6,13
"Phosphorus, P",mg,14,31
"Potassium, K",mg,27,59
"Sodium, Na",mg,227,497
"Zinc, Zn",mg,0.09,0.20
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.143,0.313
"Riboflavin",mg,0.135,0.296
"Niacin",mg,1.672,3.662
"Vitamin B-6",mg,0.028,0.061
"Folate, DFE",µg,37,81
"Vitamin E (alpha-tocopherol)",mg,0.01,0.02
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.076,0.166
"Fatty acids, total monounsaturated",g,0.081,0.177
"Fatty acids, total polyunsaturated",g,0.191,0.418
Amino Acids
Other
