Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:00 EST
"Nutrient data for: 08252, Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,83.44,
"Energy",kcal,61,
"Protein",g,2.07,
"Total lipid (fat)",g,0.47,
"Carbohydrate, by difference",g,13.47,
"Fiber, total dietary",g,2.2,
Minerals
"Calcium, Ca",mg,8,
"Iron, Fe",mg,0.56,
"Magnesium, Mg",mg,22,
"Phosphorus, P",mg,63,
"Potassium, K",mg,75,
"Sodium, Na",mg,70,
"Zinc, Zn",mg,0.61,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.053,
"Riboflavin",mg,0.024,
"Niacin",mg,0.655,
"Vitamin B-6",mg,0.044,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,1,
Lipids
"Fatty acids, total saturated",g,0.095,
"Fatty acids, total monounsaturated",g,0.105,
"Fatty acids, total polyunsaturated",g,0.235,
"Cholesterol",mg,0,
Amino Acids
Other
