Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:01 EST
"Nutrient data for: 08393, Cereals ready-to-eat, KASHI GOLEAN"
Nutrient,Unit,1Value per 100 g,"1 cup (1 NLEA serving) = 52.0g",
Proximates
"Water",g,3.00,1.56
"Energy",kcal,311,162
"Protein",g,24.89,12.94
"Total lipid (fat)",g,2.20,1.14
"Carbohydrate, by difference",g,67.19,34.94
"Fiber, total dietary",g,20.1,10.5
"Sugars, total",g,16.50,8.58
Minerals
"Calcium, Ca",mg,119,62
"Iron, Fe",mg,6.09,3.17
"Magnesium, Mg",mg,101,53
"Phosphorus, P",mg,301,157
"Potassium, K",mg,845,439
"Sodium, Na",mg,177,92
"Zinc, Zn",mg,1.70,0.88
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.230,0.120
"Riboflavin",mg,0.100,0.052
"Niacin",mg,1.700,0.884
"Vitamin B-6",mg,0.140,0.073
"Folate, DFE",µg,107,56
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,5,3
"Vitamin A, IU",IU,106,55
"Vitamin E (alpha-tocopherol)",mg,0.38,0.20
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1.6,0.8
Lipids
"Fatty acids, total saturated",g,0.400,0.208
"Fatty acids, total monounsaturated",g,0.300,0.156
"Fatty acids, total polyunsaturated",g,0.690,0.359
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
