Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:02 EST
"Nutrient data for: 08631, Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES, chocolate"
Nutrient,Unit,1Value per 100 g,"1 cup (1 NLEA serving) = 56.0g",
Proximates
"Water",g,5.30,2.97
"Energy",kcal,354,198
"Protein",g,8.50,4.76
"Total lipid (fat)",g,3.40,1.90
"Carbohydrate, by difference",g,81.40,45.58
"Fiber, total dietary",g,10.9,6.1
"Sugars, total",g,22.29,12.48
Minerals
"Calcium, Ca",mg,33,18
"Iron, Fe",mg,28.89,16.18
"Magnesium, Mg",mg,90,50
"Phosphorus, P",mg,335,188
"Potassium, K",mg,481,269
"Sodium, Na",mg,371,208
"Zinc, Zn",mg,2.70,1.51
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.670,0.375
"Riboflavin",mg,0.750,0.420
"Niacin",mg,8.890,4.978
"Vitamin B-6",mg,0.880,0.493
"Folate, DFE",µg,594,333
"Vitamin B-12",µg,3.00,1.68
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.500,0.840
"Fatty acids, total monounsaturated",g,0.800,0.448
"Fatty acids, total polyunsaturated",g,1.100,0.616
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
