Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:12 EST
"Nutrient data for: 20422, Cornmeal, degermed, unenriched, yellow"
Nutrient,Unit,1Value per 100 g,"1 cup = 157.0g",
Proximates
"Water",g,11.18,17.55
"Energy",kcal,370,581
"Protein",g,7.11,11.16
"Total lipid (fat)",g,1.75,2.75
"Carbohydrate, by difference",g,79.45,124.74
"Fiber, total dietary",g,3.9,6.1
"Sugars, total",g,1.61,2.53
Minerals
"Calcium, Ca",mg,3,5
"Iron, Fe",mg,1.10,1.73
"Magnesium, Mg",mg,32,50
"Phosphorus, P",mg,99,155
"Potassium, K",mg,142,223
"Sodium, Na",mg,7,11
"Zinc, Zn",mg,0.66,1.04
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.140,0.220
"Riboflavin",mg,0.050,0.079
"Niacin",mg,1.000,1.570
"Vitamin B-6",mg,0.182,0.286
"Folate, DFE",µg,30,47
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,11,17
"Vitamin A, IU",IU,214,336
"Vitamin E (alpha-tocopherol)",mg,0.12,0.19
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.220,0.345
"Fatty acids, total monounsaturated",g,0.390,0.612
"Fatty acids, total polyunsaturated",g,0.828,1.300
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
Footnotes
(a)"Includes Latino brands"
