Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:31 EST
"Nutrient data for: 21303, Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust"
Nutrient,Unit,1Value per 100 g,"1 slice = 118.0g","1 pizza = 946.0g",
Proximates
"Water",g,41.53,49.01,392.87
"Energy",kcal,287,339,2715
"Protein",g,11.49,13.56,108.70
"Total lipid (fat)",g,12.58,14.84,119.01
"Carbohydrate, by difference",g,31.84,37.57,301.21
"Fiber, total dietary",g,2.2,2.6,20.8
"Sugars, total",g,2.93,3.46,27.72
Minerals
"Calcium, Ca",mg,148,175,1400
"Iron, Fe",mg,2.55,3.01,24.12
"Magnesium, Mg",mg,23,27,218
"Phosphorus, P",mg,195,230,1845
"Potassium, K",mg,189,223,1788
"Sodium, Na",mg,684,807,6471
"Zinc, Zn",mg,1.35,1.59,12.77
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,0.8,6.6
"Thiamin",mg,0.390,0.460,3.689
"Riboflavin",mg,0.200,0.236,1.892
"Niacin",mg,3.500,4.130,33.110
"Vitamin B-6",mg,0.080,0.094,0.757
"Folate, DFE",µg,143,169,1353
"Vitamin B-12",µg,0.51,0.60,4.82
"Vitamin A, RAE",µg,71,84,672
"Vitamin A, IU",IU,367,433,3472
"Vitamin E (alpha-tocopherol)",mg,0.87,1.03,8.23
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,11.5,13.6,108.8
Lipids
"Fatty acids, total saturated",g,4.839,5.710,45.777
"Fatty acids, total monounsaturated",g,3.731,4.403,35.295
"Fatty acids, total polyunsaturated",g,2.980,3.516,28.191
"Fatty acids, total trans",g,0.297,0.350,2.810
"Cholesterol",mg,24,28,227
Amino Acids
Other
"Caffeine",mg,0,0,0
