Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:39 EST
"Nutrient data for: 21244, WENDY'S, Homestyle Chicken Fillet Sandwich"
Nutrient,Unit,1Value per 100 g,"1 item = 230.0g",
Proximates
"Water",g,54.94,126.36
"Energy",kcal,214,492
"Protein",g,13.78,31.69
"Total lipid (fat)",g,8.10,18.63
"Carbohydrate, by difference",g,21.55,49.56
"Fiber, total dietary",g,1.3,3.0
Minerals
"Calcium, Ca",mg,23,53
"Iron, Fe",mg,1.50,3.45
"Magnesium, Mg",mg,24,55
"Phosphorus, P",mg,161,370
"Potassium, K",mg,228,524
"Sodium, Na",mg,401,922
"Zinc, Zn",mg,0.61,1.40
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.7
"Thiamin",mg,0.295,0.678
"Riboflavin",mg,0.130,0.299
"Niacin",mg,3.300,7.590
"Vitamin B-6",mg,0.189,0.435
"Vitamin B-12",µg,0.33,0.76
"Vitamin K (phylloquinone)",µg,10.7,24.6
Lipids
"Fatty acids, total saturated",g,1.618,3.721
"Fatty acids, total monounsaturated",g,2.921,6.718
"Fatty acids, total polyunsaturated",g,3.086,7.098
"Fatty acids, total trans",g,0.514,1.182
"Cholesterol",mg,31,71
Amino Acids
Other
