Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:22 EST
"Nutrient data for: 04615, Shortening, vegetable, household, composite"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 12.8g","1 cup = 205.0g",
Proximates
"Water",g,0.00,0.00,0.00
"Energy",kcal,884,113,1812
"Protein",g,0.00,0.00,0.00
"Total lipid (fat)",g,99.97,12.80,204.94
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,1,0,2
"Iron, Fe",mg,0.07,0.01,0.14
"Magnesium, Mg",mg,0,0,0
"Phosphorus, P",mg,0,0,0
"Potassium, K",mg,0,0,0
"Sodium, Na",mg,4,1,8
"Zinc, Zn",mg,0.00,0.00,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.020,0.003,0.041
"Riboflavin",mg,0.000,0.000,0.000
"Niacin",mg,0.000,0.000,0.000
"Vitamin B-6",mg,0.001,0.000,0.002
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,6.13,0.78,12.57
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,53.2,6.8,109.1
Lipids
"Fatty acids, total saturated",g,24.980,3.197,51.209
"Fatty acids, total monounsaturated",g,41.186,5.272,84.431
"Fatty acids, total polyunsaturated",g,28.097,3.596,57.599
"Fatty acids, total trans",g,13.164,1.685,26.986
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
