Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:04 EST
"Nutrient data for: 15111, Fish, swordfish, cooked, dry heat"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 piece = 106.0g",
Proximates
"Water",g,68.26,58.02,72.36
"Energy",kcal,172,146,182
"Protein",g,23.45,19.93,24.86
"Total lipid (fat)",g,7.93,6.74,8.41
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,6,5,6
"Iron, Fe",mg,0.45,0.38,0.48
"Magnesium, Mg",mg,35,30,37
"Phosphorus, P",mg,304,258,322
"Potassium, K",mg,499,424,529
"Sodium, Na",mg,97,82,103
"Zinc, Zn",mg,0.78,0.66,0.83
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.089,0.076,0.094
"Riboflavin",mg,0.063,0.054,0.067
"Niacin",mg,9.254,7.866,9.809
"Vitamin B-6",mg,0.615,0.523,0.652
"Folate, DFE",µg,2,2,2
"Vitamin B-12",µg,1.62,1.38,1.72
"Vitamin A, RAE",µg,43,37,46
"Vitamin A, IU",IU,129,110,137
"Vitamin E (alpha-tocopherol)",mg,2.41,2.05,2.55
"Vitamin D (D2 + D3)",µg,16.6,14.1,17.6
"Vitamin D",IU,666,566,706
"Vitamin K (phylloquinone)",µg,0.1,0.1,0.1
Lipids
"Fatty acids, total saturated",g,1.911,1.624,2.026
"Fatty acids, total monounsaturated",g,3.544,3.012,3.757
"Fatty acids, total polyunsaturated",g,1.368,1.163,1.450
"Fatty acids, total trans",g,0.056,0.048,0.059
"Cholesterol",mg,78,66,83
Amino Acids
Other
"Caffeine",mg,0,0,0
