Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:07 EST
"Nutrient data for: 15244, Mollusks, oyster, eastern, wild, cooked, dry heat"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","6.0 medium = 59.0g",
Proximates
"Water",g,82.98,70.53,48.96
"Energy",kcal,79,67,47
"Protein",g,8.87,7.54,5.23
"Total lipid (fat)",g,2.65,2.25,1.56
"Carbohydrate, by difference",g,4.23,3.60,2.50
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.96,0.82,0.57
Minerals
"Calcium, Ca",mg,92,78,54
"Iron, Fe",mg,7.16,6.09,4.22
"Magnesium, Mg",mg,28,24,17
"Phosphorus, P",mg,150,128,88
"Potassium, K",mg,242,206,143
"Sodium, Na",mg,132,112,78
"Zinc, Zn",mg,61.04,51.88,36.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.025,0.021,0.015
"Riboflavin",mg,0.112,0.095,0.066
"Niacin",mg,1.365,1.160,0.805
"Vitamin B-6",mg,0.045,0.038,0.027
"Folate, DFE",µg,10,8,6
"Vitamin B-12",µg,12.91,10.97,7.62
"Vitamin A, RAE",µg,20,17,12
"Vitamin A, IU",IU,58,49,34
"Vitamin E (alpha-tocopherol)",mg,1.32,1.12,0.78
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,1,1,1
"Vitamin K (phylloquinone)",µg,1.5,1.3,0.9
Lipids
"Fatty acids, total saturated",g,0.736,0.626,0.434
"Fatty acids, total monounsaturated",g,0.393,0.334,0.232
"Fatty acids, total polyunsaturated",g,0.820,0.697,0.484
"Fatty acids, total trans",g,0.053,0.045,0.031
"Cholesterol",mg,62,53,37
Amino Acids
Other
"Caffeine",mg,0,0,0
