Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:08 EST
"Nutrient data for: 09082, Cranberry-orange relish, canned"
Nutrient,Unit,1Value per 100 g,"1 cup = 275.0g",
Proximates
"Water",g,53.20,146.30
"Energy",kcal,178,490
"Protein",g,0.30,0.82
"Total lipid (fat)",g,0.10,0.28
"Carbohydrate, by difference",g,46.20,127.05
"Fiber, total dietary",g,0.0,0.0
Minerals
"Calcium, Ca",mg,11,30
"Iron, Fe",mg,0.20,0.55
"Magnesium, Mg",mg,4,11
"Phosphorus, P",mg,8,22
"Potassium, K",mg,38,104
"Sodium, Na",mg,32,88
Vitamins
"Vitamin C, total ascorbic acid",mg,18.0,49.5
"Thiamin",mg,0.030,0.083
"Riboflavin",mg,0.020,0.055
"Niacin",mg,0.100,0.275
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,4,11
"Vitamin A, IU",IU,70,192
Lipids
"Fatty acids, total saturated",g,0.012,0.033
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
