Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:09 EST
"Nutrient data for: 09516, Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana"
Nutrient,Unit,1Value per 100 g,"1 cup = 233.0g",
Proximates
"Water",g,86.60,201.78
"Energy",kcal,52,121
"Protein",g,0.44,1.03
"Total lipid (fat)",g,0.30,0.70
"Carbohydrate, by difference",g,12.37,28.82
"Fiber, total dietary",g,0.6,1.4
"Sugars, total",g,10.33,24.07
Minerals
"Calcium, Ca",mg,11,26
"Iron, Fe",mg,0.32,0.75
"Magnesium, Mg",mg,13,30
"Phosphorus, P",mg,16,37
"Potassium, K",mg,184,429
"Sodium, Na",mg,5,12
"Zinc, Zn",mg,0.07,0.16
Vitamins
"Vitamin C, total ascorbic acid",mg,47.3,110.2
"Thiamin",mg,0.035,0.082
"Riboflavin",mg,0.053,0.123
"Niacin",mg,0.287,0.669
"Vitamin B-6",mg,0.075,0.175
"Folate, DFE",µg,24,56
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,1,2
"Vitamin A, IU",IU,20,47
"Vitamin E (alpha-tocopherol)",mg,0.16,0.37
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1.6,3.7
Lipids
"Fatty acids, total saturated",g,0.129,0.301
"Fatty acids, total monounsaturated",g,0.046,0.107
"Fatty acids, total polyunsaturated",g,0.112,0.261
"Fatty acids, total trans",g,0.002,0.005
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
