Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:10 EST
"Nutrient data for: 09143, Guava sauce, cooked"
Nutrient,Unit,1Value per 100 g,"1 cup = 238.0g",
Proximates
"Water",g,89.56,213.15
"Energy",kcal,36,86
"Protein",g,0.32,0.76
"Total lipid (fat)",g,0.14,0.33
"Carbohydrate, by difference",g,9.48,22.56
"Fiber, total dietary",g,3.6,8.6
"Sugars, total",g,5.88,13.99
Minerals
"Calcium, Ca",mg,7,17
"Iron, Fe",mg,0.18,0.43
"Magnesium, Mg",mg,7,17
"Phosphorus, P",mg,11,26
"Potassium, K",mg,225,536
"Sodium, Na",mg,4,10
"Zinc, Zn",mg,0.17,0.40
Vitamins
"Vitamin C, total ascorbic acid",mg,146.4,348.4
"Thiamin",mg,0.026,0.062
"Riboflavin",mg,0.013,0.031
"Niacin",mg,0.420,1.000
"Vitamin B-6",mg,0.090,0.214
"Folate, DFE",µg,5,12
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,14,33
"Vitamin A, IU",IU,283,674
"Vitamin E (alpha-tocopherol)",mg,0.55,1.31
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1.9,4.5
Lipids
"Fatty acids, total saturated",g,0.040,0.095
"Fatty acids, total monounsaturated",g,0.013,0.031
"Fatty acids, total polyunsaturated",g,0.059,0.140
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
