Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:56 EST
"Nutrient data for: 17006, Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, cooked"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 unit, cooked (yield from 1 lb raw meat) = 286.0g",
Proximates
"Water",g,26.14,22.22,74.76
"Energy",kcal,586,498,1676
"Protein",g,12.16,10.34,34.78
"Total lipid (fat)",g,59.18,50.30,169.25
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,23,20,66
"Iron, Fe",mg,1.29,1.10,3.69
"Magnesium, Mg",mg,13,11,37
"Phosphorus, P",mg,114,97,326
"Potassium, K",mg,194,165,555
"Sodium, Na",mg,58,49,166
"Zinc, Zn",mg,1.74,1.48,4.98
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.070,0.060,0.200
"Riboflavin",mg,0.170,0.145,0.486
"Niacin",mg,7.800,6.630,22.308
"Vitamin B-6",mg,0.040,0.034,0.114
"Folate, DFE",µg,3,3,9
"Vitamin B-12",µg,2.35,2.00,6.72
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.04,0.03,0.11
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,2,2,6
"Vitamin K (phylloquinone)",µg,4.6,3.9,13.2
Lipids
"Fatty acids, total saturated",g,27.020,22.967,77.277
"Fatty acids, total monounsaturated",g,24.400,20.740,69.784
"Fatty acids, total polyunsaturated",g,4.480,3.808,12.813
"Cholesterol",mg,114,97,326
Amino Acids
Other
"Caffeine",mg,0,0,0
