Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:57 EST
"Nutrient data for: 17015, Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,67.17,19.04,304.68
"Energy",kcal,201,57,912
"Protein",g,18.58,5.27,84.28
"Total lipid (fat)",g,13.49,3.82,61.19
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,8,2,36
"Iron, Fe",mg,1.71,0.48,7.76
"Magnesium, Mg",mg,24,7,109
"Phosphorus, P",mg,178,50,807
"Potassium, K",mg,261,74,1184
"Sodium, Na",mg,57,16,259
"Zinc, Zn",mg,3.50,0.99,15.88
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.130,0.037,0.590
"Riboflavin",mg,0.230,0.065,1.043
"Niacin",mg,6.220,1.763,28.214
"Vitamin B-6",mg,0.150,0.043,0.680
"Folate, DFE",µg,20,6,91
"Vitamin B-12",µg,2.51,0.71,11.39
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.21,0.06,0.95
Lipids
"Fatty acids, total saturated",g,5.800,1.644,26.309
"Fatty acids, total monounsaturated",g,5.530,1.568,25.084
"Fatty acids, total polyunsaturated",g,1.080,0.306,4.899
"Cholesterol",mg,67,19,304
Amino Acids
Other
