Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:57 EST
"Nutrient data for: 17235, Lamb, domestic, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse) = 260.0g",
Proximates
"Water",g,54.85,46.62,142.61
"Energy",kcal,284,241,738
"Protein",g,24.95,21.21,64.87
"Total lipid (fat)",g,19.67,16.72,51.14
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,11,9,29
"Iron, Fe",mg,2.01,1.71,5.23
"Magnesium, Mg",mg,23,20,60
"Phosphorus, P",mg,185,157,481
"Potassium, K",mg,304,258,790
"Sodium, Na",mg,68,58,177
"Zinc, Zn",mg,4.20,3.57,10.92
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.110,0.093,0.286
"Riboflavin",mg,0.280,0.238,0.728
"Niacin",mg,6.590,5.601,17.134
"Vitamin B-6",mg,0.140,0.119,0.364
"Folate, DFE",µg,17,14,44
"Vitamin B-12",µg,2.54,2.16,6.60
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,8.260,7.021,21.476
"Fatty acids, total monounsaturated",g,8.300,7.055,21.580
"Fatty acids, total polyunsaturated",g,1.420,1.207,3.692
"Cholesterol",mg,96,82,250
Amino Acids
Other
