Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:59 EST
"Nutrient data for: 17044, Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 160 g) = 70.0g",
Proximates
"Water",g,44.22,37.59,30.95
"Energy",kcal,346,294,242
"Protein",g,30.39,25.83,21.27
"Total lipid (fat)",g,24.00,20.40,16.80
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,25,21,18
"Iron, Fe",mg,2.39,2.03,1.67
"Magnesium, Mg",mg,26,22,18
"Phosphorus, P",mg,206,175,144
"Potassium, K",mg,306,260,214
"Sodium, Na",mg,72,61,50
"Zinc, Zn",mg,6.08,5.17,4.26
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.070,0.060,0.049
"Riboflavin",mg,0.250,0.212,0.175
"Niacin",mg,6.660,5.661,4.662
"Vitamin B-6",mg,0.110,0.093,0.077
"Folate, DFE",µg,18,15,13
"Vitamin B-12",µg,2.58,2.19,1.81
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.15,0.13,0.10
Lipids
"Fatty acids, total saturated",g,9.870,8.389,6.909
"Fatty acids, total monounsaturated",g,10.180,8.653,7.126
"Fatty acids, total polyunsaturated",g,1.710,1.454,1.197
"Cholesterol",mg,120,102,84
Amino Acids
Other
