Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:59 EST
"Nutrient data for: 17047, Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 160 g) = 101.0g",
Proximates
"Water",g,74.14,21.02,74.88
"Energy",kcal,132,37,133
"Protein",g,19.99,5.67,20.19
"Total lipid (fat)",g,5.20,1.47,5.25
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,12,3,12
"Iron, Fe",mg,1.74,0.49,1.76
"Magnesium, Mg",mg,25,7,25
"Phosphorus, P",mg,186,53,188
"Potassium, K",mg,287,81,290
"Sodium, Na",mg,69,20,70
"Zinc, Zn",mg,4.15,1.18,4.19
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.120,0.034,0.121
"Riboflavin",mg,0.230,0.065,0.232
"Niacin",mg,6.000,1.701,6.060
"Vitamin B-6",mg,0.150,0.043,0.151
"Folate, DFE",µg,24,7,24
"Vitamin B-12",µg,2.67,0.76,2.70
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.22,0.06,0.22
Lipids
"Fatty acids, total saturated",g,1.860,0.527,1.879
"Fatty acids, total monounsaturated",g,2.090,0.593,2.111
"Fatty acids, total polyunsaturated",g,0.480,0.136,0.485
"Cholesterol",mg,64,18,65
Amino Acids
Other
