Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:00 EST
"Nutrient data for: 17357, Lamb, New Zealand, imported, brains, cooked, soaked and fried"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g",
Proximates
"Water",g,73.11,62.14
"Energy",kcal,154,131
"Protein",g,14.03,11.93
"Total lipid (fat)",g,10.92,9.28
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,6,5
"Iron, Fe",mg,1.21,1.03
"Magnesium, Mg",mg,15,13
"Phosphorus, P",mg,384,326
"Potassium, K",mg,258,219
"Sodium, Na",mg,101,86
"Zinc, Zn",mg,1.33,1.13
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.084,0.071
"Riboflavin",mg,0.219,0.186
"Niacin",mg,2.995,2.546
"Vitamin B-6",mg,0.081,0.069
"Vitamin B-12",µg,9.54,8.11
"Vitamin A, RAE",µg,2,2
"Vitamin A, IU",IU,8,7
"Vitamin E (alpha-tocopherol)",mg,1.12,0.95
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.365,1.160
"Fatty acids, total monounsaturated",g,4.168,3.543
"Fatty acids, total polyunsaturated",g,0.999,0.849
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,2559,2175
Amino Acids
Other
"Caffeine",mg,0,0
