Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:02 EST
"Nutrient data for: 17078, Lamb, New Zealand, imported, loin chop, separable lean only, raw"
Nutrient,Unit,1Value per 100 g,"1 serving = 115.0g",
Proximates
"Water",g,71.40,82.11
"Energy",kcal,142,163
"Protein",g,19.98,22.98
"Total lipid (fat)",g,6.88,7.91
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,18,21
"Iron, Fe",mg,1.52,1.75
"Magnesium, Mg",mg,23,26
"Phosphorus, P",mg,189,217
"Potassium, K",mg,327,376
"Sodium, Na",mg,77,89
"Zinc, Zn",mg,2.69,3.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.119,0.137
"Riboflavin",mg,0.154,0.177
"Niacin",mg,5.397,6.207
"Vitamin B-6",mg,0.160,0.184
"Vitamin B-12",µg,1.90,2.19
"Vitamin A, RAE",µg,5,6
"Vitamin A, IU",IU,16,18
"Vitamin E (alpha-tocopherol)",mg,0.22,0.25
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,2,2
Lipids
"Fatty acids, total saturated",g,2.764,3.179
"Fatty acids, total monounsaturated",g,2.009,2.310
"Fatty acids, total polyunsaturated",g,0.416,0.478
"Fatty acids, total trans",g,0.249,0.286
"Cholesterol",mg,66,76
Amino Acids
Other
"Caffeine",mg,0,0
