Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:58 EST
"Nutrient data for: 16586, GARDENBURGER Veggie Medley Burger, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,"1 patty = 71.0g",
Proximates
"Water",g,66.00,46.86
"Energy",kcal,121,86
"Protein",g,4.10,2.91
"Total lipid (fat)",g,3.60,2.56
"Carbohydrate, by difference",g,24.00,17.04
"Fiber, total dietary",g,7.1,5.0
"Sugars, total",g,2.00,1.42
Minerals
"Calcium, Ca",mg,36,26
"Iron, Fe",mg,1.20,0.85
"Phosphorus, P",mg,118,84
"Potassium, K",mg,178,126
"Sodium, Na",mg,559,397
"Zinc, Zn",mg,0.50,0.35
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.100,0.071
"Riboflavin",mg,0.100,0.071
"Niacin",mg,1.000,0.710
"Vitamin B-6",mg,0.100,0.071
"Folate, DFE",µg,11,8
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, IU",IU,0,0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.400,0.284
"Fatty acids, total monounsaturated",g,1.500,1.065
"Fatty acids, total polyunsaturated",g,1.600,1.136
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
