Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:01 EST
"Nutrient data for: 16228, Soymilk, original and vanilla, light, unsweetened, with added calcium, vitamins A and D"
Nutrient,Unit,1Value per 100 g,"1 cup = 243.0g",
Proximates
"Water",g,92.03,223.63
"Energy",kcal,34,83
"Protein",g,2.62,6.37
"Total lipid (fat)",g,0.85,2.07
"Carbohydrate, by difference",g,3.85,9.36
"Fiber, total dietary",g,0.6,1.5
"Sugars, total",g,0.41,1.00
Minerals
"Calcium, Ca",mg,123,299
"Iron, Fe",mg,0.46,1.12
"Magnesium, Mg",mg,13,32
"Phosphorus, P",mg,103,250
"Potassium, K",mg,117,284
"Sodium, Na",mg,63,153
"Zinc, Zn",mg,0.10,0.24
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Riboflavin",mg,0.174,0.423
"Vitamin B-12",µg,0.23,0.56
"Vitamin A, IU",IU,206,501
"Vitamin D (D2 + D3)",µg,1.0,2.4
"Vitamin D",IU,41,100
Lipids
"Fatty acids, total saturated",g,0.078,0.190
"Fatty acids, total monounsaturated",g,0.263,0.639
"Fatty acids, total polyunsaturated",g,0.558,1.356
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
