Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:01 EST
"Nutrient data for: 16120, Soymilk, original and vanilla, unfortified"
Nutrient,Unit,1Value per 100 g,"1 cup = 243.0g","1 fl oz = 30.6g",
Proximates
"Water",g,88.05,213.96,26.94
"Energy",kcal,54,131,17
"Protein",g,3.27,7.95,1.00
"Total lipid (fat)",g,1.75,4.25,0.54
"Carbohydrate, by difference",g,6.28,15.26,1.92
"Fiber, total dietary",g,0.6,1.5,0.2
"Sugars, total",g,3.99,9.70,1.22
Minerals
"Calcium, Ca",mg,25,61,8
"Iron, Fe",mg,0.64,1.56,0.20
"Magnesium, Mg",mg,25,61,8
"Phosphorus, P",mg,52,126,16
"Potassium, K",mg,118,287,36
"Sodium, Na",mg,51,124,16
"Zinc, Zn",mg,0.12,0.29,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.060,0.146,0.018
"Riboflavin",mg,0.069,0.168,0.021
"Niacin",mg,0.513,1.247,0.157
"Vitamin B-6",mg,0.077,0.187,0.024
"Folate, DFE",µg,18,44,6
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,3,7,1
"Vitamin E (alpha-tocopherol)",mg,0.11,0.27,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,3.0,7.3,0.9
Lipids
"Fatty acids, total saturated",g,0.205,0.498,0.063
"Fatty acids, total monounsaturated",g,0.401,0.974,0.123
"Fatty acids, total polyunsaturated",g,0.961,2.335,0.294
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
