Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:22 EST
"Nutrient data for: 22961, HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen"
Nutrient,Unit,1Value per 100 g,"1 hot pocket (1 NLEA serving) = 127.0g",
Proximates
"Water",g,47.21,59.96
"Energy",kcal,253,321
"Protein",g,9.32,11.84
"Total lipid (fat)",g,10.47,13.30
"Carbohydrate, by difference",g,30.45,38.67
"Fiber, total dietary",g,2.2,2.8
"Sugars, total",g,7.73,9.82
Minerals
"Calcium, Ca",mg,181,230
"Iron, Fe",mg,2.08,2.64
"Magnesium, Mg",mg,22,28
"Phosphorus, P",mg,186,236
"Potassium, K",mg,204,259
"Sodium, Na",mg,439,558
"Zinc, Zn",mg,0.99,1.26
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.8
"Thiamin",mg,0.386,0.490
"Riboflavin",mg,0.208,0.264
"Niacin",mg,2.922,3.711
"Vitamin B-6",mg,0.096,0.122
"Folate, DFE",µg,107,136
"Vitamin B-12",µg,0.35,0.44
"Vitamin A, RAE",µg,12,15
"Vitamin A, IU",IU,242,307
"Vitamin E (alpha-tocopherol)",mg,0.69,0.88
"Vitamin D (D2 + D3)",µg,0.2,0.3
"Vitamin D",IU,10,13
"Vitamin K (phylloquinone)",µg,10.8,13.7
Lipids
"Fatty acids, total saturated",g,4.007,5.089
"Fatty acids, total monounsaturated",g,2.787,3.539
"Fatty acids, total polyunsaturated",g,2.611,3.316
"Fatty acids, total trans",g,0.156,0.198
"Cholesterol",mg,20,25
Amino Acids
Other
"Caffeine",mg,0,0
