Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:22 EST
"Nutrient data for: 22988, KASHI, Pilaf, 7 Whole Grain, unprepared"
Nutrient,Unit,1Value per 100 g,"0.5 cup = 140.0g",
Proximates
"Water",g,7.70,10.78
"Energy",kcal,375,525
"Protein",g,13.81,19.33
"Total lipid (fat)",g,5.40,7.56
"Carbohydrate, by difference",g,71.00,99.40
"Fiber, total dietary",g,12.3,17.2
"Sugars, total",g,0.80,1.12
Minerals
"Iron, Fe",mg,3.63,5.08
"Potassium, K",mg,348,487
"Sodium, Na",mg,5,7
Vitamins
Lipids
"Fatty acids, total saturated",g,0.930,1.302
"Fatty acids, total monounsaturated",g,1.690,2.366
"Fatty acids, total polyunsaturated",g,2.780,3.892
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
