Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:08 EST
"Nutrient data for: 12643, Nuts, pecans, dry roasted, with salt added"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g",
Proximates
"Water",g,1.12,0.32
"Energy",kcal,710,201
"Protein",g,9.50,2.69
"Total lipid (fat)",g,74.27,21.06
"Carbohydrate, by difference",g,13.55,3.84
"Fiber, total dietary",g,9.4,2.7
"Sugars, total",g,4.06,1.15
Minerals
"Calcium, Ca",mg,72,20
"Iron, Fe",mg,2.80,0.79
"Magnesium, Mg",mg,132,37
"Phosphorus, P",mg,293,83
"Potassium, K",mg,424,120
"Sodium, Na",mg,383,109
"Zinc, Zn",mg,5.07,1.44
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,0.2
"Thiamin",mg,0.450,0.128
"Riboflavin",mg,0.107,0.030
"Niacin",mg,1.167,0.331
"Vitamin B-6",mg,0.187,0.053
"Folate, DFE",µg,16,5
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,7,2
"Vitamin A, IU",IU,140,40
"Vitamin E (alpha-tocopherol)",mg,1.30,0.37
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,6.283,1.781
"Fatty acids, total monounsaturated",g,43.957,12.462
"Fatty acids, total polyunsaturated",g,20.572,5.832
"Cholesterol",mg,0,0
Amino Acids
Other
