Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:09 EST
"Nutrient data for: 12158, Seeds, breadfruit seeds, roasted"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g",
Proximates
"Water",g,49.70,14.09
"Energy",kcal,207,59
"Protein",g,6.20,1.76
"Total lipid (fat)",g,2.70,0.77
"Carbohydrate, by difference",g,40.10,11.37
"Fiber, total dietary",g,6.0,1.7
Minerals
"Calcium, Ca",mg,86,24
"Iron, Fe",mg,0.90,0.26
"Magnesium, Mg",mg,62,18
"Phosphorus, P",mg,175,50
"Potassium, K",mg,1082,307
"Sodium, Na",mg,28,8
"Zinc, Zn",mg,1.03,0.29
Vitamins
"Vitamin C, total ascorbic acid",mg,7.6,2.2
"Thiamin",mg,0.410,0.116
"Riboflavin",mg,0.240,0.068
"Niacin",mg,7.400,2.098
"Vitamin B-6",mg,0.420,0.119
"Folate, DFE",µg,59,17
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,15,4
"Vitamin A, IU",IU,294,83
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.729,0.207
"Fatty acids, total monounsaturated",g,0.344,0.098
"Fatty acids, total polyunsaturated",g,1.438,0.408
"Cholesterol",mg,0,0
Amino Acids
Other
