Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:41 EST
"Nutrient data for: 10884, Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,72.85,20.65,330.45
"Energy",kcal,111,31,503
"Protein",g,19.44,5.51,88.18
"Total lipid (fat)",g,3.21,0.91,14.56
"Carbohydrate, by difference",g,1.03,0.29,4.67
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,1.03,0.29,4.67
Minerals
"Calcium, Ca",mg,6,2,27
"Iron, Fe",mg,0.87,0.25,3.95
"Magnesium, Mg",mg,21,6,95
"Phosphorus, P",mg,303,86,1374
"Potassium, K",mg,347,98,1574
"Sodium, Na",mg,1098,311,4981
"Zinc, Zn",mg,1.98,0.56,8.98
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.531,0.151,2.409
"Riboflavin",mg,0.209,0.059,0.948
"Niacin",mg,6.877,1.950,31.194
"Vitamin B-6",mg,0.474,0.134,2.150
"Folate, DFE",µg,1,0,5
"Vitamin B-12",µg,0.41,0.12,1.86
"Vitamin A, RAE",µg,13,4,59
"Vitamin A, IU",IU,44,12,200
"Vitamin E (alpha-tocopherol)",mg,0.26,0.07,1.18
"Vitamin D (D2 + D3)",µg,0.6,0.2,2.7
"Vitamin D",IU,25,7,113
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.934,0.265,4.237
"Fatty acids, total monounsaturated",g,1.274,0.361,5.779
"Fatty acids, total polyunsaturated",g,0.400,0.113,1.814
"Fatty acids, total trans",g,0.020,0.006,0.091
"Cholesterol",mg,53,15,240
Amino Acids
Other
"Caffeine",mg,0,0,0
