Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:42 EST
"Nutrient data for: 10009, Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"1 cup, diced = 135.0g","3.0 oz = 85.0g",
Proximates
"Water",g,55.04,74.30,46.78
"Energy",kcal,273,369,232
"Protein",g,26.83,36.22,22.81
"Total lipid (fat)",g,17.61,23.77,14.97
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,19,12
"Iron, Fe",mg,1.01,1.36,0.86
"Magnesium, Mg",mg,22,30,19
"Phosphorus, P",mg,263,355,224
"Potassium, K",mg,352,475,299
"Sodium, Na",mg,60,81,51
"Zinc, Zn",mg,2.96,4.00,2.52
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.4,0.3
"Thiamin",mg,0.635,0.857,0.540
"Riboflavin",mg,0.313,0.423,0.266
"Niacin",mg,4.574,6.175,3.888
"Vitamin B-6",mg,0.402,0.543,0.342
"Folate, DFE",µg,10,14,8
"Vitamin B-12",µg,0.68,0.92,0.58
"Vitamin A, RAE",µg,3,4,3
"Vitamin A, IU",IU,10,14,8
"Vitamin E (alpha-tocopherol)",mg,0.22,0.30,0.19
"Vitamin D (D2 + D3)",µg,0.8,1.1,0.7
"Vitamin D",IU,33,45,28
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,6.470,8.734,5.499
"Fatty acids, total monounsaturated",g,7.880,10.638,6.698
"Fatty acids, total polyunsaturated",g,1.680,2.268,1.428
"Cholesterol",mg,94,127,80
Amino Acids
Other
"Caffeine",mg,0,0,0
