Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:43 EST
"Nutrient data for: 10028, Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 chop = 263.0g",
Proximates
"Water",g,67.64,57.49,177.89
"Energy",kcal,194,165,510
"Protein",g,19.56,16.63,51.44
"Total lipid (fat)",g,12.27,10.43,32.27
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,35,30,92
"Iron, Fe",mg,0.66,0.56,1.74
"Magnesium, Mg",mg,17,14,45
"Phosphorus, P",mg,207,176,544
"Potassium, K",mg,288,245,757
"Sodium, Na",mg,69,59,181
"Zinc, Zn",mg,2.56,2.18,6.73
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.499,0.424,1.312
"Riboflavin",mg,0.314,0.267,0.826
"Niacin",mg,6.704,5.698,17.632
"Vitamin B-6",mg,0.427,0.363,1.123
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.55,0.47,1.45
"Vitamin A, RAE",µg,6,5,16
"Vitamin A, IU",IU,20,17,53
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,0.55
"Vitamin D (D2 + D3)",µg,0.7,0.6,1.8
"Vitamin D",IU,29,25,76
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,4.270,3.629,11.230
"Fatty acids, total monounsaturated",g,4.913,4.176,12.921
"Fatty acids, total polyunsaturated",g,1.941,1.650,5.105
"Fatty acids, total trans",g,0.080,0.068,0.210
"Cholesterol",mg,63,54,166
Amino Acids
Other
"Caffeine",mg,0,0,0
